sim_time, big_dog?world_angular_velocity/x
205.998, 0.112098
205.999, 0.112816
206, 0.11347
206.001, 0.114065
206.002, 0.114608
206.003, 0.115103
206.004, 0.115554
206.005, 0.115964
206.006, 0.11565
206.007, 0.1169
206.008, 0.118025
206.009, 0.119041
206.01, 0.120038
206.011, 0.120938
206.012, 0.121751
206.013, 0.122484
206.014, 0.123147
206.015, 0.123744
206.016, 0.124282
206.017, 0.124508
206.018, 0.123133
206.019, 0.122474
206.02, 0.121764
206.021, 0.121783
206.022, 0.121664
206.023, 0.121623
206.024, 0.121459
206.025, 0.119112
206.026, 0.116989
206.027, 0.114941
206.028, 0.112957
206.029, 0.111027
206.03, 0.109496
206.031, 0.107971
206.032, 0.106451
206.033, 0.104938
206.034, 0.103383
206.035, 0.10184
206.036, 0.100307
206.037, 0.0987827
206.038, 0.0972671
206.039, 0.0958617
206.04, 0.094233
206.041, 0.0926311
206.042, 0.0915235
206.043, 0.0901908
206.044, 0.0892659
206.045, 0.0882887
206.046, 0.0872668
206.047, 0.0862064
206.048, 0.0851126
206.049, 0.0839901
206.05, 0.0828428
206.051, 0.081674
206.052, 0.0804451
206.053, 0.0797407
206.054, 0.0790635
206.055, 0.0783377
206.056, 0.0775682
206.057, 0.0767607
206.058, 0.0767888
206.059, 0.0736414
206.06, 0.0706715
206.061, 0.0678546
206.062, 0.0651717
206.063, 0.062607
206.064, 0.0603715
206.065, 0.0581053
206.066, 0.0559289
206.067, 0.0538321
206.068, 0.0517941
206.069, 0.04981
206.07, 0.0478746
206.071, 0.0459849
206.072, 0.0441376
206.073, 0.0423296
206.074, 0.0405583
206.075, 0.0388214
206.076, 0.0371168
206.077, 0.0354426
206.078, 0.0337971
206.079, 0.0321789
206.08, 0.0305867
206.081, 0.029019
206.082, 0.027475
206.083, 0.0259534
206.084, 0.0253885
206.085, 0.0247552
206.086, 0.0241096
206.087, 0.0234728
206.088, 0.0227365
206.089, 0.0221357
206.09, 0.0215453
206.091, 0.0209639
206.092, 0.0203913
206.093, 0.0198276
206.094, 0.0184019
206.095, 0.0170747
206.096, 0.015833
206.097, 0.0146666
206.098, 0.0135648
206.099, 0.0124519
206.1, 0.0113998
206.101, 0.00986495
206.102, 0.00843284
206.103, 0.00709185
206.104, 0.00590461
206.105, 0.00461565
206.106, 0.00304912
206.107, 0.00177261
206.108, 0.000641854
206.109, -0.000389609
206.11, -0.00520374
206.111, -0.00953177
206.112, -0.013436
206.113, -0.017273
206.114, -0.0207387
206.115, -0.0238746
206.116, -0.0267159
206.117, -0.025835
206.118, -0.0322871
206.119, -0.0407346
206.12, -0.0503517
206.121, -0.0603093
206.122, -0.0704588
206.123, -0.0807746
206.124, -0.0917308
206.125, -0.102971
206.126, -0.114422
206.127, -0.121724
206.128, -0.125243
206.129, -0.128172
206.13, -0.130653
206.131, -0.133535
206.132, -0.136331
206.133, -0.139131
206.134, -0.142021
206.135, -0.144836
206.136, -0.146743
206.137, -0.148668
206.138, -0.150603
206.139, -0.152545
206.14, -0.154489
206.141, -0.157032
206.142, -0.159512
206.143, -0.161937
206.144, -0.164521
206.145, -0.167107
206.146, -0.16963
206.147, -0.172098
206.148, -0.174516
206.149, -0.176891
206.15, -0.179225
206.151, -0.181523
206.152, -0.183787
206.153, -0.183426
206.154, -0.181691
206.155, -0.180206
206.156, -0.178765
206.157, -0.177305
206.158, -0.175864
206.159, -0.174581
206.16, -0.17333
206.161, -0.174046
206.162, -0.168708
206.163, -0.163654
206.164, -0.158813
206.165, -0.154162
206.166, -0.14972
206.167, -0.145415
206.168, -0.141249
206.169, -0.137203
206.17, -0.133265
206.171, -0.129425
206.172, -0.125943
206.173, -0.122519
206.174, -0.119149
206.175, -0.115835
206.176, -0.112574
206.177, -0.109365
