sim_time, big_dog?world_angular_velocity/y
206.567, 0.103369
206.568, 0.10544
206.569, 0.107455
206.57, 0.109417
206.571, 0.111314
206.572, 0.113168
206.573, 0.114983
206.574, 0.116766
206.575, 0.118511
206.576, 0.120223
206.577, 0.121901
206.578, 0.123517
206.579, 0.125106
206.58, 0.126669
206.581, 0.12822
206.582, 0.1296
206.583, 0.129629
206.584, 0.129877
206.585, 0.130311
206.586, 0.127816
206.587, 0.12568
206.588, 0.123586
206.589, 0.121698
206.59, 0.122168
206.591, 0.118098
206.592, 0.113198
206.593, 0.108258
206.594, 0.10348
206.595, 0.0989628
206.596, 0.0945244
206.597, 0.0901408
206.598, 0.0859883
206.599, 0.0817722
206.6, 0.0779938
206.601, 0.0746034
206.602, 0.071574
206.603, 0.0689904
206.604, 0.0666021
206.605, 0.0644797
206.606, 0.0625937
206.607, 0.0556085
206.608, 0.0534762
206.609, 0.0515455
206.61, 0.0509646
206.611, 0.0479799
206.612, 0.044741
206.613, 0.0413725
206.614, 0.020016
206.615, 0.0145933
206.616, 0.0100981
206.617, 0.00569126
206.618, 0.00157377
206.619, -0.00240785
206.62, -0.00649306
206.621, -0.010349
206.622, -0.0140129
206.623, -0.0175179
206.624, -0.0208915
206.625, -0.0242638
206.626, -0.0275322
206.627, -0.0308225
206.628, -0.0340285
206.629, -0.0371664
206.63, -0.0402503
206.631, -0.0594484
206.632, -0.0765799
206.633, -0.0927167
206.634, -0.110093
206.635, -0.126001
206.636, -0.139964
206.637, -0.149627
206.638, -0.159148
206.639, -0.168626
206.64, -0.178694
206.641, -0.188667
206.642, -0.19855
206.643, -0.208397
206.644, -0.218202
206.645, -0.228103
206.646, -0.238074
206.647, -0.247895
206.648, -0.257573
206.649, -0.267117
206.65, -0.269428
206.651, -0.272178
206.652, -0.275104
206.653, -0.27835
206.654, -0.281559
206.655, -0.284729
206.656, -0.287861
206.657, -0.291194
206.658, -0.294543
206.659, -0.297908
206.66, -0.302282
206.661, -0.30429
206.662, -0.306517
206.663, -0.308923
206.664, -0.311476
206.665, -0.314148
206.666, -0.316918
206.667, -0.319765
206.668, -0.324309
206.669, -0.328792
206.67, -0.332941
206.671, -0.33641
206.672, -0.339781
206.673, -0.343324
206.674, -0.346758
206.675, -0.3501
206.676, -0.353362
206.677, -0.356557
206.678, -0.359939
206.679, -0.36323
206.68, -0.366441
206.681, -0.369425
206.682, -0.372728
206.683, -0.365576
206.684, -0.359113
206.685, -0.352974
206.686, -0.347018
206.687, -0.341243
206.688, -0.335608
206.689, -0.33007
206.69, -0.324623
206.691, -0.319267
206.692, -0.31405
206.693, -0.309065
206.694, -0.304127
206.695, -0.299239
206.696, -0.294661
206.697, -0.29009
206.698, -0.285535
206.699, -0.281004
206.7, -0.276555
206.701, -0.272489
206.702, -0.268384
206.703, -0.264254
206.704, -0.260112
206.705, -0.255968
206.706, -0.251832
206.707, -0.24771
206.708, -0.243857
206.709, -0.240065
206.71, -0.236245
206.711, -0.23091
206.712, -0.226475
206.713, -0.222351
206.714, -0.218478
206.715, -0.214809
206.716, -0.211307
206.717, -0.207943
206.718, -0.204693
206.719, -0.197165
206.72, -0.190112
206.721, -0.183728
206.722, -0.177599
206.723, -0.171493
206.724, -0.165417
206.725, -0.159379
