sim_time, big_dog?world_angular_velocity/z
206.322, 0.0120219
206.323, 0.0141937
206.324, 0.016262
206.325, 0.0182382
206.326, 0.0192875
206.327, 0.0202932
206.328, 0.0212053
206.329, 0.0220878
206.33, 0.0229444
206.331, 0.0237785
206.332, 0.0245931
206.333, 0.0251585
206.334, 0.0257699
206.335, 0.025993
206.336, 0.0263122
206.337, 0.0265964
206.338, 0.0269724
206.339, 0.0273363
206.34, 0.0276871
206.341, 0.0281252
206.342, 0.0285824
206.343, 0.0291063
206.344, 0.0296203
206.345, 0.0301434
206.346, 0.0307215
206.347, 0.0313418
206.348, 0.0316688
206.349, 0.031924
206.35, 0.0321209
206.351, 0.0322752
206.352, 0.0323988
206.353, 0.0325011
206.354, 0.0325896
206.355, 0.03267
206.356, 0.0327467
206.357, 0.0502052
206.358, 0.0517665
206.359, 0.0486932
206.36, 0.0461452
206.361, 0.0439998
206.362, 0.0421911
206.363, 0.0406894
206.364, 0.0396331
206.365, 0.0387156
206.366, 0.0379167
206.367, 0.0372194
206.368, 0.0366093
206.369, 0.0360745
206.37, 0.0357993
206.371, 0.0355366
206.372, 0.0359573
206.373, 0.0362423
206.374, 0.036422
206.375, 0.0365204
206.376, 0.036557
206.377, 0.0365473
206.378, 0.0365036
206.379, 0.0364357
206.38, 0.0363513
206.381, 0.0362565
206.382, 0.0361559
206.383, 0.0427014
206.384, 0.0479512
206.385, 0.0520093
206.386, 0.0551188
206.387, 0.0575906
206.388, 0.0601251
206.389, 0.0620246
206.39, 0.0634261
206.391, 0.0620823
206.392, 0.0646452
206.393, 0.0676647
206.394, 0.0705273
206.395, 0.0699814
206.396, 0.0750477
206.397, 0.0808177
206.398, 0.0841871
206.399, 0.0880388
206.4, 0.0922261
206.401, 0.0972171
206.402, 0.102341
206.403, 0.107489
206.404, 0.112657
206.405, 0.117879
206.406, 0.123079
206.407, 0.128255
206.408, 0.133404
206.409, 0.13824
206.41, 0.143204
206.411, 0.148044
206.412, 0.152785
206.413, 0.157444
206.414, 0.162033
206.415, 0.166738
206.416, 0.17157
206.417, 0.176276
206.418, 0.180878
206.419, 0.185494
206.42, 0.18992
206.421, 0.193717
206.422, 0.197641
206.423, 0.201573
206.424, 0.205513
206.425, 0.209461
206.426, 0.213423
206.427, 0.217391
206.428, 0.221402
206.429, 0.225411
206.43, 0.229419
206.431, 0.233426
206.432, 0.237432
206.433, 0.241437
206.434, 0.245442
206.435, 0.249445
206.436, 0.253448
206.437, 0.25724
206.438, 0.261059
206.439, 0.264932
206.44, 0.268849
206.441, 0.272793
206.442, 0.276762
206.443, 0.28075
206.444, 0.280705
206.445, 0.280781
206.446, 0.28083
206.447, 0.28089
206.448, 0.28103
206.449, 0.281174
206.45, 0.281322
206.451, 0.281469
206.452, 0.28161
206.453, 0.281749
206.454, 0.281888
206.455, 0.282023
206.456, 0.282168
206.457, 0.28229
206.458, 0.282387
206.459, 0.282506
206.46, 0.282642
206.461, 0.282789
206.462, 0.282864
206.463, 0.282998
206.464, 0.283179
206.465, 0.283397
206.466, 0.28364
206.467, 0.283903
206.468, 0.284179
206.469, 0.284462
206.47, 0.282676
206.471, 0.280938
206.472, 0.279182
206.473, 0.277434
206.474, 0.275751
206.475, 0.274073
206.476, 0.272402
206.477, 0.27005
206.478, 0.267892
206.479, 0.265886
206.48, 0.263762
206.481, 0.261687
206.482, 0.259757
206.483, 0.257782
206.484, 0.255932
206.485, 0.254176
206.486, 0.252491
206.487, 0.250856
206.488, 0.249021
206.489, 0.247215
206.49, 0.244944
206.491, 0.242887
206.492, 0.241004
206.493, 0.239163
206.494, 0.237439
206.495, 0.235804
206.496, 0.234234
206.497, 0.232713
206.498, 0.231227
206.499, 0.229766
206.5, 0.228322
206.501, 0.226888
206.502, 0.223655
206.503, 0.220479
206.504, 0.21678
206.505, 0.213013
206.506, 0.209421
206.507, 0.205965
206.508, 0.202615
206.509, 0.199347
206.51, 0.196142
206.511, 0.192985
206.512, 0.189865
206.513, 0.186773
