sim_time, big_dog?world_pose/orientation/pitch
206.306, -0.00853789
206.307, -0.00859397
206.308, -0.00865119
206.309, -0.00870952
206.31, -0.00876893
206.311, -0.00882938
206.312, -0.00889083
206.313, -0.00895325
206.314, -0.00901658
206.315, -0.00908081
206.316, -0.00914591
206.317, -0.00921184
206.318, -0.00927858
206.319, -0.00934613
206.32, -0.00941445
206.321, -0.0094835
206.322, -0.00955328
206.323, -0.00962395
206.324, -0.00969555
206.325, -0.00976807
206.326, -0.00983949
206.327, -0.00990996
206.328, -0.00997953
206.329, -0.0100482
206.33, -0.0101161
206.331, -0.0101831
206.332, -0.0102492
206.333, -0.0103145
206.334, -0.010379
206.335, -0.0104428
206.336, -0.0105059
206.337, -0.0105683
206.338, -0.0106301
206.339, -0.0106911
206.34, -0.0107514
206.341, -0.010811
206.342, -0.0108699
206.343, -0.0109282
206.344, -0.010986
206.345, -0.0110431
206.346, -0.0110996
206.347, -0.0111555
206.348, -0.0112092
206.349, -0.011261
206.35, -0.011311
206.351, -0.0113594
206.352, -0.0114063
206.353, -0.0114518
206.354, -0.011496
206.355, -0.0115389
206.356, -0.0115807
206.357, -0.0116153
206.358, -0.0116588
206.359, -0.0116973
206.36, -0.0117361
206.361, -0.0117732
206.362, -0.0118087
206.363, -0.0118421
206.364, -0.011874
206.365, -0.0119045
206.366, -0.0119337
206.367, -0.0119617
206.368, -0.0119888
206.369, -0.0120149
206.37, -0.0120401
206.371, -0.0120646
206.372, -0.0120883
206.373, -0.0121113
206.374, -0.0121336
206.375, -0.0121553
206.376, -0.0121766
206.377, -0.0121975
206.378, -0.0122179
206.379, -0.0122381
206.38, -0.0122579
206.381, -0.0122775
206.382, -0.0122968
206.383, -0.0123021
206.384, -0.0122949
206.385, -0.0122765
206.386, -0.0122481
206.387, -0.0122097
206.388, -0.0121633
206.389, -0.0121099
206.39, -0.0120505
206.391, -0.0119931
206.392, -0.0119257
206.393, -0.0118436
206.394, -0.0117451
206.395, -0.0116271
206.396, -0.0114924
206.397, -0.0113453
206.398, -0.0111899
206.399, -0.0110269
206.4, -0.0108562
206.401, -0.0106775
206.402, -0.0104912
206.403, -0.0102971
206.404, -0.0100952
206.405, -0.00988579
206.406, -0.00966881
206.407, -0.00944437
206.408, -0.00921256
206.409, -0.00897906
206.41, -0.00874326
206.411, -0.00850507
206.412, -0.00826445
206.413, -0.0080214
206.414, -0.00777592
206.415, -0.00752789
206.416, -0.00727716
206.417, -0.00702377
206.418, -0.00676776
206.419, -0.00650908
206.42, -0.00624577
206.421, -0.00598034
206.422, -0.00571261
206.423, -0.00544247
206.424, -0.00516985
206.425, -0.00489469
206.426, -0.00461688
206.427, -0.00433636
206.428, -0.00405312
206.429, -0.00376714
206.43, -0.00347842
206.431, -0.00318693
206.432, -0.00289269
206.433, -0.00259568
206.434, -0.00229591
206.435, -0.00199338
206.436, -0.0016881
206.437, -0.00137877
206.438, -0.00106498
