sim_time, big_dog?world_pose/orientation/roll
206.069, 0.00604033
206.07, 0.00609026
206.071, 0.00613831
206.072, 0.00618454
206.073, 0.00622897
206.074, 0.00627165
206.075, 0.0063126
206.076, 0.00635187
206.077, 0.00638947
206.078, 0.00642545
206.079, 0.00645982
206.08, 0.00649261
206.081, 0.00652385
206.082, 0.00655356
206.083, 0.00658175
206.084, 0.00660935
206.085, 0.00663626
206.086, 0.00666247
206.087, 0.006688
206.088, 0.00671277
206.089, 0.0067369
206.09, 0.00676042
206.091, 0.00678334
206.092, 0.00680566
206.093, 0.00682739
206.094, 0.00684767
206.095, 0.00686658
206.096, 0.00688422
206.097, 0.00690066
206.098, 0.00691598
206.099, 0.00693016
206.1, 0.00694326
206.101, 0.00695484
206.102, 0.00696495
206.103, 0.00697369
206.104, 0.00698123
206.105, 0.00698745
206.106, 0.0069921
206.107, 0.00699534
206.108, 0.00699752
206.109, 0.00699868
206.11, 0.00699446
206.111, 0.00698545
206.112, 0.00697253
206.113, 0.00695552
206.114, 0.00693481
206.115, 0.00691077
206.116, 0.00688371
206.117, 0.00685792
206.118, 0.00682565
206.119, 0.00678523
206.12, 0.00673492
206.121, 0.00667431
206.122, 0.00660325
206.123, 0.00652159
206.124, 0.00642872
206.125, 0.00632436
206.126, 0.00620758
206.127, 0.00608347
206.128, 0.00595545
206.129, 0.00582443
206.13, 0.00569089
206.131, 0.00555442
206.132, 0.0054151
206.133, 0.00527292
206.134, 0.00512778
206.135, 0.00497977
206.136, 0.00482981
206.137, 0.00467787
206.138, 0.00452396
206.139, 0.00436807
206.14, 0.00421021
206.141, 0.00404977
206.142, 0.00388683
206.143, 0.00372144
206.144, 0.00355345
206.145, 0.00338287
206.146, 0.00320975
206.147, 0.00303417
206.148, 0.00285617
206.149, 0.00267581
206.15, 0.00249313
206.151, 0.00230818
206.152, 0.00212098
206.153, 0.00193419
206.154, 0.00174922
206.155, 0.00156575
206.156, 0.00138377
206.157, 0.00120334
206.158, 0.00102445
206.159, 0.000846959
206.16, 0.000670833
206.161, 0.000494226
206.162, 0.000323113
206.163, 0.000157206
206.164, -3.72188e-06
206.165, -0.000159873
206.166, -0.000311464
206.167, -0.000458622
206.168, -0.000601533
206.169, -0.000740313
206.17, -0.000875069
206.171, -0.0010059
206.172, -0.00113318
206.173, -0.00125696
206.174, -0.00137729
206.175, -0.00149424
206.176, -0.00160786
206.177, -0.00171821
206.178, -0.00182533
206.179, -0.00192918
206.18, -0.00202816
206.181, -0.00212261
206.182, -0.0022126
206.183, -0.00229802
206.184, -0.00237924
206.185, -0.00245629
206.186, -0.0025292
206.187, -0.00259776
206.188, -0.00266197
206.189, -0.00272188
206.19, -0.00277752
206.191, -0.00282891
206.192, -0.00287611
206.193, -0.00291914
206.194, -0.002958
206.195, -0.0029931
206.196, -0.0030245
206.197, -0.00305226
206.198, -0.00307776
206.199, -0.00310088
206.2, -0.00312163
206.201, -0.00314003
206.202, -0.0031561
206.203, -0.00316986
206.204, -0.00318114
206.205, -0.00318997
206.206, -0.00319626
206.207, -0.00320005
206.208, -0.00320139
206.209, -0.00320034
206.21, -0.0031968
206.211, -0.00319069
206.212, -0.00318206
206.213, -0.00317083
206.214, -0.00315706
206.215, -0.00314076
206.216, -0.00312192
206.217, -0.00310071
206.218, -0.00307684
206.219, -0.00305036
206.22, -0.00302126
206.221, -0.00298958
206.222, -0.00295563
206.223, -0.00291938
206.224, -0.0028817
206.225, -0.00284252
206.226, -0.00280183
206.227, -0.00275917
206.228, -0.00271459
206.229, -0.00266818
206.23, -0.00261998
206.231, -0.00257004
206.232, -0.00251842
206.233, -0.00246515
206.234, -0.00241029
206.235, -0.00235306
206.236, -0.0022936
206.237, -0.00223214
206.238, -0.00216842
206.239, -0.00210256
206.24, -0.00203462
206.241, -0.00196453
206.242, -0.00189236
206.243, -0.0018182
206.244, -0.00174212
206.245, -0.00166415
206.246, -0.00158397
206.247, -0.00150161
206.248, -0.00141759
206.249, -0.00133195
206.25, -0.00124614
206.251, -0.00116003
206.252, -0.00107363
206.253, -0.000986978
206.254, -0.000899728
206.255, -0.000811954
206.256, -0.000723649
206.257, -0.000634878
206.258, -0.000545701
206.259, -0.000456174
206.26, -0.000366344
206.261, -0.000276453
206.262, -0.000186097
206.263, -9.53374e-05
206.264, -4.22777e-06
206.265, 8.71823e-05
206.266, 0.000179065
206.267, 0.000271358
206.268, 0.000364007
206.269, 0.000456962
206.27, 0.000550179
206.271, 0.000643617
206.272, 0.00073724
206.273, 0.000831008
206.274, 0.000925683
206.275, 0.0010192
206.276, 0.00111167
206.277, 0.00120315
206.278, 0.00129365
206.279, 0.00138332
206.28, 0.00147214
206.281, 0.00156008
206.282, 0.00164716
206.283, 0.00173353
206.284, 0.00181926
206.285, 0.00190431
206.286, 0.00198865
206.287, 0.00207233
206.288, 0.00215534
206.289, 0.00223763
206.29, 0.00231918
206.291, 0.00239998
206.292, 0.00248
206.293, 0.00255924
206.294, 0.00263766
206.295, 0.00271528
206.296, 0.00279232
206.297, 0.00286875
206.298, 0.00294454
206.299, 0.00301968
206.3, 0.00309412
206.301, 0.00316786
206.302, 0.00323846
206.303, 0.00330613
206.304, 0.00337103
206.305, 0.00343361
206.306, 0.00349393
206.307, 0.00355228
206.308, 0.00360874
206.309, 0.00366336
206.31, 0.00371622
206.311, 0.00376737
206.312, 0.00381688
206.313, 0.0038648
206.314, 0.00391119
206.315, 0.0039561
206.316, 0.00399955
206.317, 0.00404158
206.318, 0.0040822
206.319, 0.00412146
206.32, 0.00415937
206.321, 0.0041959
206.322, 0.00423111
206.323, 0.00426497
206.324, 0.00429747
206.325, 0.00432862
206.326, 0.00435918
206.327, 0.00438909
206.328, 0.00441825
206.329, 0.00444671
206.33, 0.00447446
206.331, 0.00450154
206.332, 0.00452797
206.333, 0.00455346
206.334, 0.00457806
206.335, 0.00460194
206.336, 0.00462516
206.337, 0.00464761
206.338, 0.00466936
206.339, 0.00469034
206.34, 0.00471049
206.341, 0.00472987
206.342, 0.00474845
206.343, 0.0047663
206.344, 0.00478344
206.345, 0.00479979
206.346, 0.00481539
206.347, 0.00483028
206.348, 0.00484509
206.349, 0.00485976
206.35, 0.00487426
206.351, 0.00488859
206.352, 0.00490273
206.353, 0.00491666
206.354, 0.0049304
206.355, 0.00494393
206.356, 0.00495726
206.357, 0.00495806
206.358, 0.00494882
206.359, 0.0049429
206.36, 0.00493576
206.361, 0.0049287
206.362, 0.00492153
206.363, 0.00491435
206.364, 0.0049065
206.365, 0.00489793
206.366, 0.00488861
206.367, 0.00487851
206.368, 0.00486762
206.369, 0.00485592
206.37, 0.00484322
206.371, 0.00482953
206.372, 0.00481416
206.373, 0.00479721
206.374, 0.00477876
206.375, 0.0047589
206.376, 0.00473769
206.377, 0.00471518
206.378, 0.00469145
206.379, 0.00466654
206.38, 0.00464049
206.381, 0.00461336
206.382, 0.00458519
206.383, 0.00455341
206.384, 0.00451797
206.385, 0.00447915
206.386, 0.00443721
206.387, 0.00439299
206.388, 0.00434517
206.389, 0.00429405
206.39, 0.00423991
206.391, 0.00418837
206.392, 0.00412926
206.393, 0.00405911
