sim_time, big_dog?world_pose/orientation/yaw
206.347, -0.0156541
206.348, -0.0156225
206.349, -0.0155906
206.35, -0.0155585
206.351, -0.0155262
206.352, -0.0154938
206.353, -0.0154614
206.354, -0.0154288
206.355, -0.0153961
206.356, -0.0153634
206.357, -0.0153161
206.358, -0.015268
206.359, -0.015219
206.36, -0.0151727
206.361, -0.0151286
206.362, -0.0150864
206.363, -0.0150456
206.364, -0.0150059
206.365, -0.0149671
206.366, -0.014929
206.367, -0.0148917
206.368, -0.0148549
206.369, -0.0148187
206.37, -0.0147828
206.371, -0.0147471
206.372, -0.0147109
206.373, -0.0146745
206.374, -0.0146378
206.375, -0.0146011
206.376, -0.0145643
206.377, -0.0145274
206.378, -0.0144906
206.379, -0.0144539
206.38, -0.0144172
206.381, -0.0143806
206.382, -0.0143441
206.383, -0.0143011
206.384, -0.0142527
206.385, -0.0142002
206.386, -0.0141445
206.387, -0.0140864
206.388, -0.0140257
206.389, -0.0139631
206.39, -0.013899
206.391, -0.0138366
206.392, -0.0137715
206.393, -0.0137032
206.394, -0.013632
206.395, -0.0135612
206.396, -0.0134853
206.397, -0.0134036
206.398, -0.0133185
206.399, -0.0132296
206.4, -0.0131365
206.401, -0.0130384
206.402, -0.0129352
206.403, -0.0128269
206.404, -0.0127135
206.405, -0.0125948
206.406, -0.012471
206.407, -0.012342
206.408, -0.0122079
206.409, -0.012069
206.41, -0.0119252
206.411, -0.0117766
206.412, -0.0116233
206.413, -0.0114653
206.414, -0.0113028
206.415, -0.0111357
206.416, -0.0109637
206.417, -0.0107871
206.418, -0.0106059
206.419, -0.0104201
206.42, -0.0102299
206.421, -0.010036
206.422, -0.0098381
206.423, -0.00963635
206.424, -0.00943069
206.425, -0.00922111
206.426, -0.00900759
206.427, -0.00879013
206.428, -0.00856869
206.429, -0.00834326
206.43, -0.00811386
206.431, -0.00788047
206.432, -0.00764311
206.433, -0.00740176
206.434, -0.00715644
206.435, -0.00690714
206.436, -0.00665386
206.437, -0.00639681
206.438, -0.00613597
206.439, -0.00587128
206.44, -0.0056027
206.441, -0.00533024
206.442, -0.00505384
206.443, -0.00477347
206.444, -0.00449317
206.445, -0.00421279
206.446, -0.0039325
206.447, -0.00365211
206.448, -0.00337157
206.449, -0.00309088
206.45, -0.00281005
206.451, -0.00252908
206.452, -0.00224797
206.453, -0.00196672
206.454, -0.00168534
206.455, -0.00140382
206.456, -0.00112215
206.457, -0.000840351
206.458, -0.000558451
206.459, -0.000276424
206.46, 5.74691e-06
206.461, 0.000288075
206.462, 0.000570493
206.463, 0.000853058
206.464, 0.00113582
206.465, 0.00141882
206.466, 0.00170208
206.467, 0.00198563
206.468, 0.00226947
206.469, 0.00255361
206.47, 0.002836
206.471, 0.0031167
206.472, 0.00339553
206.473, 0.00367265
206.474, 0.00394812
206.475, 0.00422209
206.476, 0.00449447
206.477, 0.00476456
206.478, 0.00503255
206.479, 0.00529858
206.48, 0.00556253
206.481, 0.00582446
206.482, 0.0060845
206.483, 0.00634262
206.484, 0.00659894
206.485, 0.00685354
206.486, 0.00710651
206.487, 0.00735789
206.488, 0.00760748
206.489, 0.00785531
206.49, 0.00810092
206.491, 0.00834452
206.492, 0.0085863
206.493, 0.00882628
206.494, 0.00906458
206.495, 0.0093013
206.496, 0.00953649
206.497, 0.00977021
206.498, 0.0100025
206.499, 0.0102333
206.5, 0.0104628
206.501, 0.0106909
206.502, 0.0109157
206.503, 0.0111374
206.504, 0.0113553
206.505, 0.0115695
206.506, 0.0117802
206.507, 0.0119874
206.508, 0.0121913
206.509, 0.0123919
206.51, 0.0125893
206.511, 0.0127836
206.512, 0.0129748
206.513, 0.0131629
206.514, 0.0133479
206.515, 0.0135292
206.516, 0.013707
206.517, 0.0138815
206.518, 0.0140527
206.519, 0.0142206
206.52, 0.0143852
206.521, 0.0145467
206.522, 0.0147051
206.523, 0.0148603
206.524, 0.0150142
206.525, 0.0151661
206.526, 0.0153158
206.527, 0.0154627
206.528, 0.0156064
206.529, 0.0157468
206.53, 0.015884
206.531, 0.0160177
206.532, 0.0161481
206.533, 0.0162749
206.534, 0.0163983
206.535, 0.0165182
206.536, 0.0166344
206.537, 0.0167471
206.538, 0.0168563
206.539, 0.016962
206.54, 0.0170642
206.541, 0.0171629
206.542, 0.0172583
206.543, 0.0173502
206.544, 0.0174389
206.545, 0.0175242
206.546, 0.0176062
206.547, 0.017685
206.548, 0.0177605
206.549, 0.0178327
206.55, 0.0179018
206.551, 0.0179674
206.552, 0.0180291
206.553, 0.0180872
206.554, 0.0181417
206.555, 0.0181931
